Salt,Molar Mass (g/mol),Molality (kg/mol),Density (g/mL),Exp Osmotic Coefficient
CsBr,212.81,0.1,1.01356,0.917
CsBr,212.81,0.2,1.02986,0.896
CsBr,212.81,0.3,1.04598,0.882
CsBr,212.81,0.4,1.06192,0.873
CsBr,212.81,0.5,1.07769,0.865
CsBr,212.81,0.6,1.09329,0.861
CsBr,212.81,0.7,1.10873,0.857
CsBr,212.81,0.8,1.12401,0.854
CsBr,212.81,0.9,1.13912,0.852
CsBr,212.81,1,1.15409,0.85
CsBr,212.81,1.2,1.18358,0.849
CsBr,212.81,1.4,1.21243,0.848
CsBr,212.81,1.6,1.24073,0.848
CsBr,212.81,1.8,1.26847,0.85
CsBr,212.81,2,1.29566,0.852
CsBr,212.81,2.5,1.36136,0.859
CsBr,212.81,3,1.42396,0.866
CsBr,212.81,3.5,1.48367,0.874
CsBr,212.81,4,1.54067,0.884
CsBr,212.81,4.5,1.59514,0.892
CsBr,212.81,5,1.64724,0.901
CsCl,168.36,0.1,1.00983,0.917
CsCl,168.36,0.2,1.02246,0.897
CsCl,168.36,0.3,1.03496,0.885
CsCl,168.36,0.4,1.04732,0.875
CsCl,168.36,0.5,1.05956,0.869
CsCl,168.36,0.6,1.07168,0.864
CsCl,168.36,0.7,1.08368,0.861
CsCl,168.36,0.8,1.09557,0.859
CsCl,168.36,0.9,1.10734,0.858
CsCl,168.36,1,1.119,0.857
CsCl,168.36,1.2,1.14201,0.856
CsCl,168.36,1.4,1.16456,0.856
CsCl,168.36,1.6,1.18671,0.857
CsCl,168.36,1.8,1.20845,0.859
CsCl,168.36,2,1.22979,0.864
CsCl,168.36,2.5,1.28149,0.871
CsCl,168.36,3,1.33093,0.88
CsCl,168.36,3.5,1.37823,0.891
CsCl,168.36,4,1.42352,0.901
CsCl,168.36,4.5,1.46694,0.913
CsCl,168.36,5,1.50858,0.923
CsCl,168.36,5.5,1.54855,0.934
CsCl,168.36,6,1.58697,0.945
CsI,259.81,0.1,1.01706,0.916
CsI,259.81,0.2,1.0368,0.895
CsI,259.81,0.3,1.05627,0.88
CsI,259.81,0.4,1.0755,0.87
CsI,259.81,0.5,1.09449,0.863
CsI,259.81,0.6,1.11325,0.858
CsI,259.81,0.7,1.13177,0.855
CsI,259.81,0.8,1.15008,0.852
CsI,259.81,0.9,1.16816,0.849
CsI,259.81,1,1.18602,0.846
CsI,259.81,1.2,1.22114,0.842
CsI,259.81,1.4,1.25539,0.839
CsI,259.81,1.6,1.28886,0.836
CsI,259.81,1.8,1.32155,0.834
CsI,259.81,2,1.35349,0.832
CsI,259.81,2.5,1.43016,0.827
CsI,259.81,3,1.50251,0.822
CsNO3,194.911,0.1,1.01131,0.902
CsNO3,194.911,0.2,1.02536,0.869
CsNO3,194.911,0.3,1.03922,0.842
CsNO3,194.911,0.4,1.0529,0.82
CsNO3,194.911,0.5,1.06642,0.802
CsNO3,194.911,0.6,1.07978,0.787
CsNO3,194.911,0.7,1.09298,0.774
CsNO3,194.911,0.8,1.10604,0.761
CsNO3,194.911,0.9,1.11895,0.748
CsNO3,194.911,1,1.13173,0.736
CsNO3,194.911,1.2,1.15691,0.715
CsNO3,194.911,1.4,1.18157,0.695
KBr,119.002,0.1,1.00548,0.928
KBr,119.002,0.2,1.0138,0.916
KBr,119.002,0.3,1.02203,0.91
KBr,119.002,0.4,1.03018,0.906
KBr,119.002,0.5,1.03826,0.904
KBr,119.002,0.6,1.04625,0.904
